key,date,new_cases,new_deaths,cumulative_cases,cumulative_deaths,population,country,state_province,county,aggregation_level
AR_C_006,2020-06-17,6,0,127,6,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-30,0,0,3,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-11,0,0,0,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-10,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-06,0,0,15,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-10,0,0,16,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-03,0,0,14,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-14,15,1,326,12,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-17,0,0,19,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-10,11,1,281,10,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-04,8,0,230,9,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-29,11,0,201,8,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-17,0,0,5,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-02,0,0,3,1,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-02,2,0,14,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-05,1,0,15,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-19,2,0,22,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-11,3,0,98,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-13,16,0,311,11,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-15,25,1,351,13,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-10,22,1,955,31,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-13,0,0,17,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-24,5,0,167,6,176076,Argentina,City of Buenos Aires,Caballito,2
