Country,Province_State,Date,Cum_Cases,Cum_Deaths, Population
Russia,Chechen Republic,2020-04-09,22,1,1476752
Russia,Chechen Republic,2020-04-10,22,1,1476752
Russia,Chechen Republic,2020-04-11,30,1,1476752
Russia,Chechen Republic,2020-04-12,47,3,1476752
Russia,Chechen Republic,2020-04-13,49,5,1476752
Russia,Chechen Republic,2020-04-14,64,5,1476752
Russia,Chechen Republic,2020-04-15,105,5,1476752
Russia,Chechen Republic,2020-04-16,108,5,1476752
Russia,Chechen Republic,2020-04-17,115,5,1476752
Russia,Chechen Republic,2020-04-18,175,5,1476752
Russia,Chechen Republic,2020-04-19,219,5,1476752
Russia,Chechen Republic,2020-04-20,264,5,1476752
Russia,Chechen Republic,2020-04-21,303,5,1476752
Russia,Chechen Republic,2020-04-22,323,6,1476752
Russia,Chechen Republic,2020-04-23,347,6,1476752
Russia,Chechen Republic,2020-04-24,365,6,1476752
Russia,Chechen Republic,2020-04-25,387,6,1476752
Russia,Chechen Republic,2020-04-26,409,6,1476752
Russia,Chechen Republic,2020-04-27,429,6,1476752
Russia,Chechen Republic,2020-04-28,447,7,1476752
Russia,Chechen Republic,2020-04-29,465,7,1476752
Russia,Chechen Republic,2020-04-30,485,7,1476752
Russia,Chechen Republic,2020-05-01,504,7,1476752
Russia,Chechen Republic,2020-05-02,525,8,1476752
Russia,Chechen Republic,2020-05-03,553,8,1476752
Russia,Chechen Republic,2020-05-04,583,8,1476752
Russia,Chechen Republic,2020-05-05,615,8,1476752
