continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths
Europe,Bulgaria,None,2020-03-20 00:00:00,2020-04-23 00:00:00,6.67,22.634,2020-04-24 00:00:00,2020-05-04 00:00:00,18.775,2.701
Europe,Bulgaria,None,None,None,6.67,22.634,None,None,18.775,2.701
Europe,Croatia,None,2020-03-19 00:00:00,2020-04-23 00:00:00,3.345,39.505,2020-04-24 00:00:00,2020-05-04 00:00:00,1.143,11.7
Europe,Croatia,None,None,None,3.345,39.505,None,None,1.143,11.7
Europe,Cyprus,None,2020-03-23 00:00:00,2020-04-24 00:00:00,4.555,14.989,2020-04-25 00:00:00,2020-05-04 00:00:00,0.858,1.557
Europe,Cyprus,None,None,None,4.555,14.989,None,None,0.858,1.557
Europe,Czechia,None,2020-03-13 00:00:00,2020-04-21 00:00:00,3.325,123.605,2020-04-22 00:00:00,2020-05-04 00:00:00,1.511,3.059
Europe,Czechia,None,None,None,3.325,123.605,None,None,1.511,3.059
Europe,Denmark,None,2020-03-10 00:00:00,2020-04-20 00:00:00,12.215,106.14,2020-04-21 00:00:00,2020-05-04 00:00:00,1.685,1.503
Europe,Denmark,None,None,None,12.215,106.14,None,None,1.685,1.503
Europe,Estonia,None,2020-03-14 00:00:00,2020-04-21 00:00:00,6.741,101.325,2020-04-22 00:00:00,2020-05-04 00:00:00,1.295,2.142
Europe,Estonia,None,None,None,6.741,101.325,None,None,1.295,2.142
Europe,Finland,None,2020-03-13 00:00:00,2020-04-21 00:00:00,7.709,135.35,2020-04-22 00:00:00,2020-05-04 00:00:00,1.458,15.205
Europe,Finland,None,None,None,7.709,135.35,None,None,1.458,15.205
Europe,France,None,2020-03-01 00:00:00,2020-04-18 00:00:00,13.96,221.127,2020-04-19 00:00:00,2020-05-04 00:00:00,7.782,2.338
Europe,France,None,None,None,13.96,221.127,None,None,7.782,2.338
Europe,Germany,None,2020-03-01 00:00:00,2020-04-18 00:00:00,33.646,248.224,2020-04-19 00:00:00,2020-05-04 00:00:00,4.524,7.441
Europe,Germany,None,None,None,33.646,248.224,None,None,4.524,7.441
Europe,Greece,None,2020-03-13 00:00:00,2020-04-21 00:00:00,4.578,15.342,2020-04-22 00:00:00,2020-05-04 00:00:00,2.743,3.029
Europe,Greece,None,None,None,4.578,15.342,None,None,2.743,3.029
Europe,Hungary,None,2020-03-21 00:00:00,2020-04-23 00:00:00,4.898,19.723,2020-04-24 00:00:00,2020-05-04 00:00:00,0.72,4.074
Europe,Hungary,None,None,None,4.898,19.723,None,None,0.72,4.074
Europe,Iceland,None,2020-03-12 00:00:00,2020-04-21 00:00:00,5.127,25.834,2020-04-22 00:00:00,2020-05-04 00:00:00,5.75,29.388
Europe,Iceland,None,None,None,5.127,25.834,None,None,5.75,29.388
Europe,Ireland,None,2020-03-14 00:00:00,2020-04-21 00:00:00,18.166,40.953,2020-04-22 00:00:00,2020-05-04 00:00:00,3.49,5.397
Europe,Ireland,None,None,None,18.166,40.953,None,None,3.49,5.397
Europe,Italy,None,2020-02-23 00:00:00,2020-04-16 00:00:00,12.02,52.977,2020-04-17 00:00:00,2020-05-04 00:00:00,2.193,1.033
Europe,Italy,None,None,None,12.02,52.977,None,None,2.193,1.033
Europe,Kosovo,None,2020-03-31 00:00:00,2020-04-26 00:00:00,6.314,57.24,2020-04-27 00:00:00,2020-05-04 00:00:00,5.938,8.894
Europe,Kosovo,None,None,None,6.314,57.24,None,None,5.938,8.894
Europe,Latvia,None,2020-03-20 00:00:00,2020-04-23 00:00:00,4.076,88.825,2020-04-24 00:00:00,2020-05-04 00:00:00,3.691,21.132
Europe,Latvia,None,None,None,4.076,88.825,None,None,3.691,21.132
Europe,Lithuania,None,2020-03-22 00:00:00,2020-04-23 00:00:00,3.719,10.817,2020-04-24 00:00:00,2020-05-04 00:00:00,3.813,5.205
Europe,Lithuania,None,None,None,3.719,10.817,None,None,3.813,5.205
Europe,Luxembourg,None,2020-03-17 00:00:00,2020-04-22 00:00:00,3.348,11.694,2020-04-23 00:00:00,2020-05-04 00:00:00,0.5,1.094
Europe,Luxembourg,None,None,None,3.348,11.694,None,None,0.5,1.094
Europe,Malta,None,2020-03-23 00:00:00,2020-04-24 00:00:00,5.5,17.855,2020-04-25 00:00:00,2020-05-04 00:00:00,4.838,6.026
Europe,Malta,None,None,None,5.5,17.855,None,None,4.838,6.026
Europe,Moldova,None,2020-03-23 00:00:00,2020-04-24 00:00:00,8.209,35.158,2020-04-25 00:00:00,2020-05-04 00:00:00,3.011,1.925
Europe,Moldova,None,None,None,8.209,35.158,None,None,3.011,1.925
Europe,Montenegro,None,2020-03-31 00:00:00,2020-04-26 00:00:00,2.316,24.144,2020-04-27 00:00:00,2020-05-04 00:00:00,3.149,11.822
Europe,Montenegro,None,None,None,2.316,24.144,None,None,3.149,11.822
Europe,Netherlands,None,2020-03-06 00:00:00,2020-04-19 00:00:00,3.717,107.725,2020-04-20 00:00:00,2020-05-04 00:00:00,0.92,1.178
Europe,Netherlands,None,None,None,3.717,107.725,None,None,0.92,1.178
Europe,None,None,None,None,10.517,82.765,None,None,3.197,6.687
Europe,North Macedonia,None,2020-03-22 00:00:00,2020-04-23 00:00:00,3.342,20.038,2020-04-24 00:00:00,2020-05-04 00:00:00,1.759,5.909
Europe,North Macedonia,None,None,None,3.342,20.038,None,None,1.759,5.909
Europe,Norway,None,2020-03-06 00:00:00,2020-04-19 00:00:00,6.611,60.103,2020-04-20 00:00:00,2020-05-04 00:00:00,1.597,6.125
Europe,Norway,None,None,None,6.611,60.103,None,None,1.597,6.125
Europe,Poland,None,2020-03-14 00:00:00,2020-04-21 00:00:00,4.207,32.699,2020-04-22 00:00:00,2020-05-04 00:00:00,1.101,2.29
Europe,Poland,None,None,None,4.207,32.699,None,None,1.101,2.29
Europe,Portugal,None,2020-03-13 00:00:00,2020-04-21 00:00:00,8.57,48.401,2020-04-22 00:00:00,2020-05-04 00:00:00,0.616,0.428
Europe,Portugal,None,None,None,8.57,48.401,None,None,0.616,0.428
Europe,Romania,None,2020-03-14 00:00:00,2020-04-21 00:00:00,10.714,49.391,2020-04-22 00:00:00,2020-05-04 00:00:00,1.55,1.673
Europe,Romania,None,None,None,10.714,49.391,None,None,1.55,1.673
Europe,San Marino,None,2020-03-15 00:00:00,2020-04-22 00:00:00,6.436,17.379,2020-04-23 00:00:00,2020-05-04 00:00:00,1.366,10.596
Europe,San Marino,None,None,None,6.436,17.379,None,None,1.366,10.596
Europe,Serbia,None,2020-03-19 00:00:00,2020-04-23 00:00:00,5.478,49.358,2020-04-24 00:00:00,2020-05-04 00:00:00,2.401,7.894
Europe,Serbia,None,None,None,5.478,49.358,None,None,2.401,7.894
Europe,Slovakia,None,2020-03-18 00:00:00,2020-04-22 00:00:00,12.671,126.558,2020-04-23 00:00:00,2020-05-04 00:00:00,4.373,13.44
Europe,Slovakia,None,None,None,12.671,126.558,None,None,4.373,13.44
Europe,Slovenia,None,2020-03-13 00:00:00,2020-04-21 00:00:00,3.405,89.357,2020-04-22 00:00:00,2020-05-04 00:00:00,0.361,2.118
Europe,Slovenia,None,None,None,3.405,89.357,None,None,0.361,2.118
Europe,Spain,None,2020-03-02 00:00:00,2020-04-18 00:00:00,43.332,168.541,2020-04-19 00:00:00,2020-05-04 00:00:00,3.569,3.142
Europe,Spain,None,None,None,43.332,168.541,None,None,3.569,3.142
Europe,Sweden,None,2020-03-06 00:00:00,2020-04-19 00:00:00,7.458,279.561,2020-04-20 00:00:00,2020-05-04 00:00:00,2.245,4.106
Europe,Sweden,None,None,None,7.458,279.561,None,None,2.245,4.106
Europe,Switzerland,None,2020-03-05 00:00:00,2020-04-19 00:00:00,15.18,63.98,2020-04-20 00:00:00,2020-05-04 00:00:00,1.094,2.595
Europe,Switzerland,None,None,None,15.18,63.98,None,None,1.094,2.595
Europe,Ukraine,None,2020-03-25 00:00:00,2020-04-24 00:00:00,4.651,11.393,2020-04-25 00:00:00,2020-05-04 00:00:00,0.57,8.938
Europe,Ukraine,None,None,None,4.651,11.393,None,None,0.57,8.938
Europe,United Kingdom,None,2020-03-05 00:00:00,2020-04-19 00:00:00,65.125,499.641,2020-04-20 00:00:00,2020-05-04 00:00:00,6.186,6.793
Europe,United Kingdom,None,None,None,65.125,499.641,None,None,6.186,6.793
North America,Canada,Alberta,2020-03-19 00:00:00,2020-04-23 00:00:00,13.4,35.088,2020-04-24 00:00:00,2020-05-04 00:00:00,6.238,14.495
North America,Canada,British Columbia,2020-03-16 00:00:00,2020-04-22 00:00:00,9.92,10.675,2020-04-23 00:00:00,2020-05-04 00:00:00,6.935,1.664
North America,Canada,Manitoba,2020-03-31 00:00:00,2020-04-26 00:00:00,3.491,10.651,2020-04-27 00:00:00,2020-05-04 00:00:00,1.009,6.384
North America,Canada,New Brunswick,2020-04-06 00:00:00,2020-04-27 00:00:00,5.537,,2020-04-28 00:00:00,2020-05-04 00:00:00,13.137,
North America,Canada,Newfoundland and Labrador,2020-03-27 00:00:00,2020-04-25 00:00:00,2.758,25.594,2020-04-26 00:00:00,2020-05-04 00:00:00,3.958,9.686
North America,Canada,None,None,None,8.323,48.687,None,None,5.211,10.732
North America,Canada,Nova Scotia,2020-03-28 00:00:00,2020-04-25 00:00:00,5.401,124.058,2020-04-26 00:00:00,2020-05-04 00:00:00,3.152,19.858
North America,Canada,Ontario,2020-03-15 00:00:00,2020-04-22 00:00:00,6.676,47.449,2020-04-23 00:00:00,2020-05-04 00:00:00,2.025,1.509
North America,Canada,Quebec,2020-03-19 00:00:00,2020-04-23 00:00:00,23.646,121.672,2020-04-24 00:00:00,2020-05-04 00:00:00,2.255,12.108
North America,Canada,Saskatchewan,2020-03-28 00:00:00,2020-04-25 00:00:00,4.077,14.306,2020-04-26 00:00:00,2020-05-04 00:00:00,8.19,20.15
North America,Costa Rica,None,2020-03-21 00:00:00,2020-04-23 00:00:00,2.648,30.991,2020-04-24 00:00:00,2020-05-04 00:00:00,1.058,8.924
North America,Costa Rica,None,None,None,2.648,30.991,None,None,1.058,8.924
North America,Cuba,None,2020-03-28 00:00:00,2020-04-25 00:00:00,1.61,6.775,2020-04-26 00:00:00,2020-05-04 00:00:00,1.312,2.787
North America,Cuba,None,None,None,1.61,6.775,None,None,1.312,2.787
North America,Dominican Republic,None,2020-03-21 00:00:00,2020-04-23 00:00:00,4.908,24.131,2020-04-24 00:00:00,2020-05-04 00:00:00,2.392,12.809
North America,Dominican Republic,None,None,None,4.908,24.131,None,None,2.392,12.809
North America,El Salvador,None,2020-04-09 00:00:00,2020-04-28 00:00:00,2.197,4.254,2020-04-29 00:00:00,2020-05-04 00:00:00,6.489,9.824
North America,El Salvador,None,None,None,2.197,4.254,None,None,6.489,9.824
North America,Guatemala,None,2020-04-10 00:00:00,2020-04-28 00:00:00,3.39,11.395,2020-04-29 00:00:00,2020-05-04 00:00:00,3.163,9.015
North America,Guatemala,None,None,None,3.39,11.395,None,None,3.163,9.015
North America,Honduras,None,2020-03-29 00:00:00,2020-04-25 00:00:00,11.861,9.088,2020-04-26 00:00:00,2020-05-04 00:00:00,10.989,4.259
North America,Honduras,None,None,None,11.861,9.088,None,None,10.989,4.259
