continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_rmse_cases,train_rmse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_rmse_cases,test_rmse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Europe,Latvia,None,2020-03-20,2020-06-05,2.377,33.95,1.0,-1.0,13.58,1.244,18.522,1.597,2020-06-06,2020-06-20,0.179,2.721,-1.0,1.0,1.965,0.757,181.255,5.916,81.51,28.203
Europe,Lithuania,None,2020-03-22,2020-06-05,3.084,8.93,1.0,1.0,38.079,2.245,45.308,2.72,2020-06-06,2020-06-20,5.895,3.407,1.0,1.0,103.866,2.549,315.526,13.33,84.351,32.41
Europe,Luxembourg,None,2020-03-17,2020-06-05,1.435,6.068,1.0,1.0,29.597,1.507,37.408,2.115,2020-06-06,2020-06-20,1.618,1.92,1.0,-1.0,65.884,2.112,859.426,23.765,82.788,
Europe,Malta,None,2020-03-23,2020-06-05,5.823,13.206,1.0,1.0,23.157,0.563,27.838,0.683,2020-06-06,2020-06-20,3.742,3.772,1.0,-1.0,24.349,0.339,102.036,1.884,50.739,
Europe,Moldova,None,2020-03-23,2020-06-05,8.332,22.962,-1.0,-1.0,106.686,2.917,129.54,3.498,2020-06-06,2020-06-20,11.636,4.645,1.0,1.0,1412.368,19.48,1939.829,77.479,45.223,31.936
Europe,Montenegro,None,2020-03-31,2020-06-05,1.024,13.787,1.0,-1.0,2.473,0.494,3.976,0.656,2020-06-06,2020-06-20,1.79,6.61,1.0,-1.0,6.244,0.595,49.0,2.158,99.34,
Europe,Netherlands,None,2020-03-06,2020-06-05,3.957,40.622,1.0,-1.0,305.077,41.983,382.29,60.938,2020-06-06,2020-06-20,4.444,0.254,1.0,1.0,2165.468,15.39,9242.801,1220.542,84.984,24.614
Europe,None,None,None,None,6.295,49.418,,,398.334,71.448,523.735,89.177,None,None,6.715,4.309,,,1815.242,90.227,7534.359,808.93,73.434,128.192
Europe,North Macedonia,None,2020-03-22,2020-06-05,7.527,11.025,1.0,-1.0,98.114,4.362,127.04,5.244,2020-06-06,2020-06-20,37.652,20.879,1.0,1.0,1525.86,40.823,420.552,26.964,91.846,70.441
Europe,Norway,None,2020-03-06,2020-06-05,3.633,41.902,1.0,-1.0,111.296,9.061,133.551,12.792,2020-06-06,2020-06-20,3.288,1.656,1.0,-1.0,284.226,3.985,1682.975,55.237,91.146,41.725
Europe,Poland,None,2020-03-14,2020-06-05,12.83,50.285,-1.0,-1.0,455.542,32.24,600.231,39.557,2020-06-06,2020-06-20,14.938,3.91,1.0,-1.0,4384.519,47.327,4364.47,245.07,67.822,20.238
Europe,Portugal,None,2020-03-13,2020-06-05,18.237,50.902,-1.0,-1.0,730.216,25.526,858.34,29.235,2020-06-06,2020-06-20,10.712,3.736,1.0,1.0,3948.493,56.353,6356.206,282.28,84.356,29.913
